"","CXCL1","CXCL2","CXCL3","CXCL5","CXCL6","PPBP","CXCL9","CXCL10","CXCL11","CXCL12","CXCL13","CXCL16"
"CXCL1",1,0.625229143558332,0.581693547164488,0.492353170182639,0.711727279606047,0.149990369573063,0.0436292893551132,0.0286534274509801,-0.00867168637943523,0.0581678290239379,0.115306563020661,0.287070048948682
"CXCL2",0.625229143558332,1,0.733704375795783,0.349753995807557,0.33641681135498,0.163116138888352,0.0649902557378495,0.06377311315519,0.042817440963085,0.00453924427584873,0.151328584984072,0.0844348520932986
"CXCL3",0.581693547164488,0.733704375795783,1,0.390085187375557,0.301629075773395,0.198653132334832,0.036995032983242,0.0302774753911913,-0.0133169601586754,0.0470016869424095,0.0907968051563793,0.189297198777288
"CXCL5",0.492353170182639,0.349753995807557,0.390085187375557,1,0.571898450956848,0.103996602254537,0.08280133895386,0.0104162426659987,0.0270864837114622,0.030938418747922,0.149891199845137,0.270899928595393
"CXCL6",0.711727279606047,0.33641681135498,0.301629075773395,0.571898450956848,1,0.144466519299833,0.0237627346764939,0.00328510875209331,0.00553964095931734,0.121089769837794,0.0324909441841674,0.278206772750532
"PPBP",0.149990369573063,0.163116138888352,0.198653132334832,0.103996602254537,0.144466519299833,1,0.0555399566295815,0.039431585954552,0.0437629178652019,0.131040036815866,0.0419401459112653,0.0154270879361401
"CXCL9",0.0436292893551132,0.0649902557378495,0.036995032983242,0.08280133895386,0.0237627346764939,0.0555399566295815,1,0.878134313327734,0.890190993591163,0.171244325304693,0.68755019216563,0.373343848151612
"CXCL10",0.0286534274509801,0.06377311315519,0.0302774753911913,0.0104162426659987,0.00328510875209331,0.039431585954552,0.878134313327734,1,0.942881071729794,0.121852120040253,0.631222259112595,0.290167475882469
"CXCL11",-0.00867168637943523,0.042817440963085,-0.0133169601586754,0.0270864837114622,0.00553964095931734,0.0437629178652019,0.890190993591163,0.942881071729794,1,0.118550312059844,0.616390622009282,0.26425974842179
"CXCL12",0.0581678290239379,0.00453924427584873,0.0470016869424095,0.030938418747922,0.121089769837794,0.131040036815866,0.171244325304693,0.121852120040253,0.118550312059844,1,0.0328462841235366,0.131210907439065
"CXCL13",0.115306563020661,0.151328584984072,0.0907968051563793,0.149891199845137,0.0324909441841674,0.0419401459112653,0.68755019216563,0.631222259112595,0.616390622009282,0.0328462841235366,1,0.342699219193664
"CXCL16",0.287070048948682,0.0844348520932986,0.189297198777288,0.270899928595393,0.278206772750532,0.0154270879361401,0.373343848151612,0.290167475882469,0.26425974842179,0.131210907439065,0.342699219193664,1
